effect,authors,year,experiment,study,article,age,skill,task,trials,days,freqgrps,frgrn,frequency,pub,bandwidth,bprime,faded,yoked,otherrfb,feedback,measure,primary,match,measure-other,irinterval,drinterval,time,n100,n2,mean100,sd100,se100,mean2,sd2,se2,F,t,af,r,q,p,favours,calsd100,calsd2,missing,g_msd,var_g_msd,g_fv,var.g_fv,g_tv,var_g_tv,g_pv,var_g_pv,g_ses,var_g_ses,g_afes,var_g_afes,g_raw,var,g
338,Agethen & Krause ,2016,1,1,1,Adult,Novice,Stable-constant,760,5,No,,13.3,Yes,No,No,No,Yes,,CE,AE,Yes,TRUE,,,2,DelayRet,12,12,5.6923,3.56901,,5.9464,2.08,,,,,,,,100,,,Yes,-0.08,0.16,,,,,,,,,,,-0.08,0.16,-0.08
336,Agethen & Krause ,2016,1,1,1,Adult,Novice,Stable-constant,760,5,No,,13.3,Yes,No,No,No,Yes,,CE,AE,Yes,TRUE,,,2,Acquisition,12,12,3.8367,0.76374,,5.4889,1.61,,,,,,,,100,,,Yes,-1.27,0.19,,,,,,,,,,,-1.27,0.19,-1.27
174,Albequerque et al.,2014,1,2,2,Adult,Novice,Stable-constant,120,1,No,,50,Yes,No,No,No,No,,REL time,REL time,Yes,TRUE,,,1,Transfer,10,10,,,,,,,,3.19,,,,,Reduced,,,,,,,,1.37,0.23,,,,,,,1.37,0.23,1.37
172,Albequerque et al.,2014,1,2,2,Adult,Novice,Stable-constant,120,1,No,,50,Yes,No,No,No,No,,REL time,REL time,Yes,TRUE,,,1,Acquisition,10,10,,,,,,,4.19,,,,,,Reduced,,,,,,0.88,0.2,,,,,,,,,0.88,0.2,0.88
173,Albequerque et al.,2014,1,2,2,Adult,Novice,Stable-constant,120,1,No,,50,Yes,No,No,No,No,,REL time,REL time,Yes,TRUE,,,1,DelayRet,10,10,,,,,,,,0.68,,,,,Reduced,,,,,,,,0.29,0.19,,,,,,,0.29,0.19,0.29
175,Albequerque et al.,2014,2,3,2,Adult,Novice,Stable-constant,120,1,No,,50,Yes,No,No,No,No,,ABS time,ABS time,Yes,FALSE,,,1,Acquisition,10,10,,,,,,,0.43,,,,,,100,,,,,,0.28,0.19,,,,,,,,,0.28,0.19,-0.28
177,Albequerque et al.,2014,2,3,2,Adult,Novice,Stable-constant,120,1,No,,50,Yes,No,No,No,No,,ABS time,ABS time,Yes,FALSE,,,1,DelayRet,10,10,327.9352029,265.9122808,,437.3780254,230.5397618,,,,,,,,100,,,Yes,,,,,,,,,,,,,,0.19,-0.42
179,Albequerque et al.,2014,2,3,2,Adult,Novice,Stable-constant,120,1,No,,50,Yes,No,No,No,No,,ABS time,ABS time,Yes,FALSE,,,1,Transfer,10,10,688.7370343,340.7693047,,512.1062236,274.5879754,,,,,,,,Reduced,,,Yes,,,,,,,,,,,,,,0.19,0.55
451,Aoyagi et al.,2019,1,4,3,Adult,Novice,Stable-constant,80,4,No,,50,Yes,No,No,No,No,,CE,AE,Yes,TRUE,,1,1,DelayRet,15,15,16.4,,4.4,11.4,,1.9,,,,,,,Reduced,17.041127,7.358668,Yes,,,,,,,,,0.37,0.13,,,0.37,0.13,0.37
450,Aoyagi et al.,2019,1,4,3,Adult,Novice,Stable-constant,80,4,No,,50,Yes,No,No,No,No,,CE,AE,Yes,TRUE,,1,,ImmRet,15,15,9.2,,2.7,10.6,,2.2,,,,,,,Reduced,10.457055,8.520563,Yes,,,,,,,,,-0.14,0.13,,,-0.14,0.13,0.14
