"","x"
"1",4.69634111666815e-17
"2",8.79453848700704e-11
"3",3.16414775984228e-15
"4",3.10590959592141e-11
"5",1.91010370949362e-11
"6",3.46036722630205e-10
"7",9.49900113789969e-12
"8",1.02799776457195e-17
"9",1.6031786038919e-08
"10",9.98769472771867e-17
"11",1.17259218917273e-13
"12",8.63992951699276e-15
"13",5.0587175919906e-19
"14",4.8250300202081e-16
"15",6.37410986561151e-14
"16",1.3760685017374e-10
"17",1.28545503555968e-13
"18",1.13574237439398e-17
"19",1.4258137310441e-13
"20",1.10145632777914e-15
"21",3.29639761404724e-12
"22",6.95015994434935e-14
"23",6.5884786844478e-17
"24",1.17862868865025e-13
"25",9.19742162031572e-14
"26",2.68018294334057e-15
"27",1.38810167162922e-13
"28",1.71310540558002e-16
"29",9.27186347579373e-15
"30",2.98213017466735e-19
"31",1.40392812549867e-09
"32",7.88145753800722e-15
"33",4.01070544424147e-10
"34",3.95689506759207e-13
"35",5.94203449066012e-12
"36",1.04820810899095e-10
"37",5.08448151421284e-11
"38",3.78113660262498e-12
"39",7.16249481372692e-14
"40",4.44176298413004e-18
"41",2.18104821620177e-11
"42",1.29059122833867e-14
"43",1.1037036086899e-14
"44",7.00286845852889e-13
"45",3.01945242097952e-15
"46",4.94890611244499e-15
"47",7.19996847977155e-17
"48",NA
"49",7.13370179292251e-14
"50",2.40018257352713e-18
"51",7.26395288442091e-15
"52",3.81731772218686e-16
"53",5.29804345995549e-14
"54",1.1487394940596e-14
"55",1.80696638424849e-12
"56",1.00063957816958e-11
"57",5.56635860308749e-13
"58",1.50861496785039e-11
"59",8.38644087043005e-12
"60",1.2875219286126e-16
"61",5.82559928304768e-13
"62",2.84327891814881e-13
"63",4.87876593507446e-15
"64",6.47014756035053e-14
"65",5.55979323256049e-16
"66",1.60949683345772e-12
"67",6.12220164372122e-15
"68",1.31340522858667e-12
"69",6.78008423594037e-17
"70",9.83571693964305e-17
"71",5.31905910892103e-13
"72",3.64169867467665e-13
"73",1.59340356098557e-15
"74",1.48456128567222e-13
"75",3.04949071050472e-19
"76",1.85446907822235e-11
"77",2.07831904139912e-19
"78",1.77066539917442e-10
"79",8.97030050509476e-13
"80",7.95983322022313e-19
"81",1.69790018774529e-15
"82",3.6879821197755e-17
"83",3.04423599198267e-13
"84",1.2594803128505e-14
"85",1.46356187907737e-13
"86",2.07897227243079e-12
"87",2.05881911309159e-13
"88",2.08118048276193e-12
"89",1.50008161607543e-13
"90",2.54488836027572e-16
"91",5.84126688175228e-17
"92",1.12284429578887e-09
"93",NA
"94",3.3712171603975e-16
"95",1.19546515492611e-15
"96",4.36532538742382e-14
"97",1.89346667804516e-16
"98",1.00564996511917e-12
"99",7.14059701753615e-10
"100",1.4854120794063e-13
"101",6.80163415519002e-13
"102",4.68638652472983e-15
"103",5.32086812294071e-10
"104",1.29017415112669e-13
"105",2.53892932070856e-15
"106",4.35251726779582e-09
"107",1.23286883835871e-12
"108",1.7554728004959e-14
"109",8.23267571392186e-12
"110",2.38214111003945e-17
"111",4.39025338379796e-15
"112",6.36437657663756e-15
"113",8.03639528789839e-21
"114",2.24885086750403e-09
"115",1.69915427372637e-15
"116",1.64228976734893e-07
"117",4.11119862276906e-19
"118",2.61985190922989e-17
"119",4.73366975402058e-14
"120",5.70331826012526e-15
"121",1.28085057440377e-12
"122",6.98291629531784e-15
"123",6.02076446481947e-12
"124",1.44308399081636e-13
"125",4.77760789971846e-13
"126",4.42386055135867e-15
"127",8.12077369096193e-12
"128",5.22715480500902e-12
"129",9.45423446948361e-18
"130",6.14157668028502e-13
"131",3.44157062194336e-17
"132",1.63722884487254e-10
"133",8.51663636964726e-10
"134",5.20220491430448e-16
"135",3.54541443556488e-14
"136",3.20041477285465e-13
"137",1.22868640747457e-13
"138",5.91399717401404e-17
"139",6.12389188579942e-15
"140",1.15074265744567e-16
"141",4.23401160830763e-15
"142",1.78939035732757e-11
"143",5.80033091733331e-13
"144",7.43408537798616e-13
"145",8.90371454497484e-16
"146",5.6237053174283e-14
"147",4.19856538457955e-15
"148",6.04105487378006e-17
"149",1.66045416587508e-14
"150",4.3023934098493e-16
"151",8.23358011200005e-12
"152",1.11799977120588e-14
"153",1.98821794488677e-14
"154",1.36462300163092e-11
"155",1.95739560894718e-12
"156",1.10854349824737e-16
"157",1.8465134286002e-12
"158",1.37676843404922e-15
"159",1.69285768277919e-10
"160",1.79371635671514e-13
"161",2.02650623801061e-13
"162",9.53697175385654e-17
"163",7.88505577906053e-15
"164",5.45423700013583e-12
"165",1.229044934853e-10
"166",5.82429097336871e-13
"167",3.91576001210066e-13
"168",4.89304619929602e-12
"169",5.05206455936257e-13
"170",3.55206285320702e-15
"171",5.60018154107696e-14
"172",1.15932079785867e-12
"173",6.90604419308101e-19
"174",1.30649852599331e-15
"175",7.50701703553474e-14
"176",7.72683801933657e-14
"177",3.7654386186852e-09
"178",8.34008160321945e-19
"179",1.56419374424589e-14
"180",2.62365318031621e-14
"181",6.28328650752846e-14
"182",4.1185876018215e-16
"183",6.58478182494815e-15
"184",7.75591420829219e-16
"185",6.10394144825815e-14
"186",1.44658887578511e-13
"187",1.52375349816776e-16
"188",6.40856824717668e-11
"189",7.65000255502265e-12
"190",1.7279060483324e-16
"191",9.35055746897671e-10
"192",1.98338213215115e-11
"193",9.22060470419906e-13
"194",1.46197780449692e-15
"195",1.35872594654127e-19
"196",3.18000720938126e-13
"197",5.45567659617904e-14
"198",1.14880900045729e-16
"199",8.15295925541599e-12
"200",5.96618539090755e-09
"201",3.80856055158203e-12
"202",9.16243659855569e-16
"203",3.29351093123695e-16
"204",2.29983781026049e-16
"205",2.39571788527422e-10
"206",3.94471043022615e-10
"207",1.79039305915962e-14
"208",NA
"209",3.95203287382539e-16
"210",2.15822720424845e-15
"211",8.68030702971711e-17
"212",2.20640286600397e-11
"213",2.58122801268658e-13
"214",3.21328033193779e-14
"215",4.0363295612149e-15
"216",NA
"217",9.94682866454783e-21
"218",4.96024227433163e-12
"219",1.22382633649476e-13
"220",1.96774953590291e-12
"221",1.14078744819984e-12
"222",2.51247503535174e-16
"223",8.50620098784076e-15
"224",1.40462361068551e-13
"225",3.05810260457954e-14
"226",3.41178357582452e-14
"227",2.56733420249254e-09
"228",5.55028173274543e-16
"229",1.37775954498468e-12
"230",9.75034615407095e-17
"231",5.8410927778194e-13
"232",3.02980276724282e-11
"233",4.65171887141475e-10
"234",4.64416653833165e-15
"235",4.8206945989055e-13
"236",6.30125374495083e-11
"237",1.02525685445461e-15
"238",1.21638747610224e-14
"239",1.03434228981412e-11
"240",NA
"241",1.94075759719917e-18
"242",1.17484340469709e-17
"243",1.58979180393702e-13
"244",7.7742927848642e-13
"245",8.80354045704435e-14
"246",8.17920839604899e-16
"247",7.35671502707155e-12
"248",1.32354924481732e-13
"249",6.98275100731016e-15
"250",3.4194693514731e-12
"251",5.92051440965645e-15
"252",5.00934537974286e-11
"253",2.02700682588746e-14
"254",6.62176244412641e-16
"255",4.76706851842672e-13
"256",8.02492408873641e-13
"257",6.00732445915993e-13
"258",4.11828657712222e-15
"259",7.06816309358246e-13
"260",9.81461494657642e-19
"261",2.72059858167954e-12
"262",6.44820103000288e-17
"263",6.83504459804021e-16
"264",6.48751661459396e-12
"265",1.08925399503135e-13
"266",1.50266505152373e-11
"267",1.64741237674363e-12
"268",1.42479309167438e-12
"269",1.21984449124572e-13
"270",6.87005491226258e-16
"271",5.46166669024217e-15
"272",5.77217453382993e-13
"273",1.64741775268607e-12
"274",2.02118929882887e-10
"275",4.86375933830151e-17
"276",4.74046530289955e-16
"277",NA
"278",2.03783926253236e-15
"279",2.81351643696076e-10
"280",6.74595708574903e-18
"281",6.30494146963148e-16
"282",1.46525253878179e-15
"283",1.88308929012092e-13
"284",1.36412516634965e-12
"285",3.1036410941003e-12
"286",1.68141837409131e-15
"287",1.2619601176287e-12
"288",1.60132229953811e-15
"289",2.04666929516101e-11
"290",3.86589593392436e-14
"291",4.97270193512406e-18
"292",8.49998063229305e-14
"293",7.38677063005197e-16
"294",NA
"295",5.37840013329834e-12
"296",1.14572110890072e-08
"297",3.54633955074333e-13
"298",3.10559873652413e-22
