"","x"
"1",0.327018220763284
"2",0.333706845182697
"3",NA
"4",0.266505723176572
"5",0.115309289652898
"6",0.401169660508385
"7",NA
"8",0.267520501586994
"9",0.533469602257335
"10",0.478207412678289
"11",0.202721925556344
"12",0.216717566714559
"13",0.302576272171469
"14",NA
"15",0.243823477039459
"16",0.220451062748181
"17",0.476537388107445
"18",0.135779154202805
"19",0.363868060486417
"20",0.272028717505256
"21",0.436318941958792
"22",0.234922198390737
"23",0.302109647437979
"24",0.379092674062023
"25",NA
"26",0.186226734937925
"27",0.179874765146989
"28",0.331955262489696
"29",0.402057994083211
"30",NA
"31",0.346190966116388
"32",0.373073183194686
"33",0.287625489391812
"34",0.243493935315029
"35",0.23746752465691
"36",0.256102369378278
"37",0.194375473223992
"38",0.183801498048766
"39",0.166109804997717
"40",0.41871358142862
"41",0.34239716581916
"42",0.219660349264059
"43",0.367752622652235
"44",0.319034821843119
"45",0.343950965361049
"46",0.112460577967557
"47",0.320924812403597
"48",0.320244170992039
"49",0.27803335575923
"50",0.340066240842364
"51",0.281039817931663
"52",0.0471310922231222
"53",0.531035945785186
"54",0.041378864069931
"55",0.271404712640499
"56",0.13056862487823
"57",0.324227346211183
"58",0.428774521886071
"59",0.220131316294779
"60",0.267916182911635
"61",0.268832904538439
"62",0.245507767135246
"63",NA
"64",0.134151114150094
"65",0.37025279469029
"66",NA
"67",0.342757374782065
"68",0.136429584505008
"69",0.438605576736311
"70",0.330706460541837
"71",0.419783509349459
"72",0.478355986006125
"73",0.398127480032795
"74",0.355161979335368
"75",0.466237416356898
"76",0.357917384841193
"77",0.385033007712665
"78",0.24523966417934
"79",NA
"80",0.32459129618479
"81",0.337142607702825
"82",0.15322483932968
"83",0.274599905935858
"84",0.257720355330579
"85",0.150530301046057
"86",0.274197929335305
"87",0.281757937869164
"88",0.365228521124256
"89",0.15657221972474
"90",0.181321715822926
"91",0.321966638076167
"92",0.27300776425265
"93",0.289357732318185
"94",0.210435847837906
"95",0.383842810133042
"96",0.266419602647966
"97",0.178474934956433
"98",0.21111035217456
"99",0.178160380857027
"100",0.178334230396994
"101",0.200831513000281
"102",0.233847656162262
"103",0.218009473987211
"104",0.200307576125862
"105",0.280363732982618
"106",0.478535736189397
"107",0.236726643003112
"108",0.424916254313929
"109",0.316796831983819
"110",0.219824814904265
"111",0.438735655179508
"112",0.237750534811464
"113",0.230580115449269
"114",NA
"115",0.18730235184753
"116",0.335228239284486
"117",NA
"118",0.229747628059702
"119",0.247805069236563
"120",0.380584247780811
"121",0.311814574441527
"122",0.386089279615145
"123",0.189116168763802
"124",0.383795505725586
"125",0.241394352711483
"126",0.244662609262385
"127",0.207213444843114
"128",0.204709487239618
"129",0.238869010373384
"130",0.402434663942141
"131",0.115557396831794
"132",0.242112668342211
"133",0.189501828120211
"134",0.3166659018263
"135",0.218293978776019
"136",0.299959440691727
"137",0.343522436787473
"138",0.361025721933656
"139",0.236939026822464
"140",0.240717951319871
"141",NA
"142",0.24751492276146
"143",0.286851391281033
"144",0.216044416197684
"145",0.261372659889488
"146",0.315900136698459
"147",0.269757970823766
"148",0.298030411526967
"149",NA
"150",0.216113409145497
"151",0.270905460143638
"152",0.204514161649794
