"","x"
"1",0.00106345670195091
"2",0.000746745439856643
"3",NA
"4",0.0185064452588464
"5",0.193591767375918
"6",0.000401969452610848
"7",NA
"8",0.0192749392345031
"9",7.8190992080775e-07
"10",8.09755290675864e-06
"11",0.072902125349222
"12",0.0364261297745885
"13",0.00158807306167216
"14",NA
"15",0.0508507400563992
"16",0.0225370222952201
"17",2.18044242875254e-05
"18",0.122901074937747
"19",0.000270851661559388
"20",0.0126426250035443
"21",0.000933329795421225
"22",0.0430872037741197
"23",0.00882328455874626
"24",0.000360641724439248
"25",NA
"26",0.159685006045834
"27",0.110515187760036
"28",0.000301065494897914
"29",0.00265372721016039
"30",NA
"31",0.000371240453537535
"32",0.000705896339765393
"33",0.00732135629789653
"34",0.0131343111394268
"35",0.0582123145681516
"36",0.0128766340417938
"37",0.0684990790923753
"38",0.0780217238055327
"39",0.115166098743152
"40",0.00089861805530545
"41",0.00294050616548514
"42",0.0506764150371268
"43",6.55704163074735e-05
"44",0.00111887369398361
"45",0.000798423139075974
"46",0.29239903843252
"47",0.00222482271982437
"48",0.00777509242022704
"49",0.0197133461284172
"50",0.00445732925250314
"51",0.00278934743762629
"52",0.607106857810868
"53",0.000107470469124262
"54",0.666141397500873
"55",0.00639691776881909
"56",0.166286868635001
"57",0.00809209970144095
"58",0.000125475155361525
"59",0.0761998251143676
"60",0.0118837774812119
"61",0.0237017430503036
"62",0.0227151100604552
"63",NA
"64",0.0502699064030281
"65",0.00726126619960607
"66",NA
"67",0.000753051570067571
"68",0.253913949807468
"69",2.8735379454208e-05
"70",0.000605615120235738
"71",0.000143882040762336
"72",0.00012193467687459
"73",4.64307627933675e-05
"74",0.000441159096052244
"75",0.000336635325756582
"76",0.000874042005082073
"77",0.00472112787587035
"78",0.00542225574473541
"79",NA
"80",0.0254500361291193
"81",0.0179867884189926
"82",0.11935915786293
"83",0.0102479292035814
"84",0.00995340957396266
"85",0.168648115693316
"86",0.0060154855186422
"87",0.0219647786637286
"88",0.00147642240138625
"89",0.237534052779935
"90",0.108675428790161
"91",0.0102714367759462
"92",0.0180555794598768
"93",0.014032780972897
"94",0.0831985161808959
"95",0.00228087786133912
"96",0.00727887536614887
"97",0.0578376217822301
"98",0.0566878112099885
"99",0.0565187325986337
"100",0.107995104033509
"101",0.0836560786238497
"102",0.0406725481597003
"103",0.00558460361303042
"104",0.0241503265751102
"105",0.00651715294306379
"106",0.00140307126956606
"107",0.0243635218652472
"108",3.85613203675652e-05
"109",0.00367802019732695
"110",0.0768832223161511
"111",3.64304149449643e-05
"112",0.0155551358003372
"113",0.0111885743688714
"114",NA
"115",0.146751467498492
"116",0.0230339891800638
"117",NA
"118",0.0362180896022544
"119",0.0351090219026077
"120",0.00365494771137418
"121",0.00429715644886775
"122",0.00114915181420461
"123",0.0455387660638782
"124",0.0001600841010059
"125",0.00904735939548937
"126",0.0218460870590042
"127",0.0588776230528655
"128",0.0679587696041915
"129",0.0466265890393319
"130",0.00038059682768522
"131",0.144542664838252
"132",0.0281613719147875
"133",0.101055231438404
"134",0.00274685276290514
"135",0.0205578997882415
"136",0.0169017479888659
"137",0.000565490938873782
"138",0.00565306203192041
"139",0.00226855983710705
"140",0.0126734469881276
"141",NA
"142",0.0494848592271077
"143",0.0303711191989624
"144",0.034067671959652
"145",0.00800415301139473
"146",0.00191336348894082
"147",0.0293706741663397
"148",0.0161800988002548
"149",NA
"150",0.0557288641509889
"151",0.017268593235887
"152",0.0208974472087095
"153",0.0045937948160439
"154",0.0533547187580022
"155",0.00741179834592289
"156",0.000409133931020763
"157",0.00692902541603435
"158",0.000513521154377442
"159",0.020187413987252
"160",0.0180624222610665
"161",0.0548713039194326
"162",0.00150105144365799
"163",0.115880098252572
"164",0.159665941425277
"165",0.0816195383337286
"166",1.11175100174827e-05
"167",0.00337494004093657
"168",0.0302077064258444
"169",0.00136063585217053
"170",0.00621594824376937
"171",0.476632207103572
"172",0.0102262311248795
"173",0.00269804829533978
"174",0.00557661781251059
"175",0.00438300375934017
"176",0.117786760236253
"177",0.0189857045671782
"178",0.195413722323228
"179",NA
"180",0.0458746327097035
"181",0.00233778247718545
"182",0.0546244503428087
"183",0.113597650100922
"184",0.269815967549865
"185",0.00125958347103076
"186",0.0153537047773655
"187",NA
"188",0.696109080145114
"189",0.000512558926434321
"190",0.00484381316360459
"191",0.00192009929058515
"192",0.000786609588642394
"193",0.0537743703572718
"194",0.00903387158784036
"195",0.585443384498201
"196",0.0062919613122449
"197",4.10654669344093e-07
"198",0.0058383367684598
"199",0.0740523686810029
"200",0.0685218723162615
"201",0.0131334065172526
"202",0.136025139340751
"203",0.0284344139332393
"204",8.70300985114633e-06
"205",0.00296065060827196
"206",0.118076157703232
"207",0.00714305567025306
"208",0.00678869239800619
"209",NA
"210",0.00155402214670887
"211",0.000532547229105898
"212",0.000164038160747239
"213",NA
"214",NA
"215",0.0555345609784005
"216",0.00924412970313014
"217",0.0105992867958905
"218",0.00136702362537657
"219",0.000748831313067275
"220",0.162113336159493
"221",0.0014029475529411
"222",0.000402202572592279
"223",0.00289332052930332
"224",NA
"225",NA
"226",0.000133653710539597
"227",0.0295375874270147
"228",0.00550580208696556
"229",0.00691765131259291
"230",0.0177295014873214
"231",0.187996991620756
"232",3.23766567443555e-06
